sci_data_set_name,sci_targname,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_preview_name,scp_scan_type,sci_hlsp
J93I06EYQ,0717-52468-165,330.5763333333,-8.780002777778,49,2005-04-15T10:29:46.180000,2005-04-15T10:36:47.227000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2202,10174,KOOPMANS,2005-10-15T18:49:14,J93I06EYQ,,
J93I06EZQ,0717-52468-165,330.5763333333,-8.780002777778,49,2005-04-15T10:39:24.163000,2005-04-15T10:46:25.210000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6777,10174,KOOPMANS,2005-10-16T04:56:29,J93I06EZQ,,
J93I32OZQ,0722-52224-442,339.6675,-7.915569444444,49,2005-04-20T08:45:22.213000,2005-04-20T08:52:23.260000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2207,10174,KOOPMANS,2005-10-21T02:58:40,J93I32OZQ,,
J93I32P0Q,0722-52224-442,339.6675,-7.915569444444,49,2005-04-20T08:55:00.197000,2005-04-20T09:02:01.243000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6812,10174,KOOPMANS,2005-10-21T02:24:37,J93I32P0Q,,
J93I36HQQ,0743-52262-304,345.8405,14.37164166667,49,2004-11-23T13:27:09.010000,2004-11-23T13:34:10.027000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2002,10174,KOOPMANS,2005-05-25T16:52:46,J93I36HQQ,,
J93I36HRQ,0743-52262-304,345.8405,14.37164166667,49,2004-11-23T13:36:46.997000,2004-11-23T13:43:48.043000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5776,10174,KOOPMANS,2005-05-25T18:23:32,J93I36HRQ,,
J93I22W9Q,0777-52320-501,178.7920416667,62.62281666667,49,2005-03-31T13:19:42.180000,2005-03-31T13:26:43.227000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2183,10174,KOOPMANS,2005-10-01T01:25:27,J93I22W9Q,,
J93I22WAQ,0777-52320-501,178.7920416667,62.62281666667,49,2005-03-31T13:29:20.163000,2005-03-31T13:36:21.210000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.667,10174,KOOPMANS,2005-10-01T01:29:27,J93I22WAQ,,
J93I03KDQ,0783-52325-279,194.8294583333,61.569,49,2004-11-07T11:54:10.003000,2004-11-07T12:01:11.050000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1978,10174,KOOPMANS,2005-05-09T17:23:42,J93I03KDQ,,
J93I03KEQ,0783-52325-279,194.8294583333,61.569,49,2004-11-07T12:03:47.987000,2004-11-07T12:10:49.037000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5664,10174,KOOPMANS,2005-05-09T18:50:23,J93I03KEQ,,
J93I17PFQ,0788-52338-605,215.0660416667,60.32077777778,49,2004-11-25T00:33:42.997000,2004-11-25T00:40:44.043000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2002,10174,KOOPMANS,2005-05-29T16:02:17,J93I17PFQ,,
J93I17PGQ,0788-52338-605,215.0660416667,60.32077777778,49,2004-11-25T00:43:21.010000,2004-11-25T00:50:22.027000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5786,10174,KOOPMANS,2005-05-29T16:02:47,J93I17PGQ,,
J93I37VTQ,0815-52374-337,244.6795833333,43.89095555556,49,2004-12-25T19:36:34.037000,2004-12-25T19:43:35.087000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2046,10174,KOOPMANS,2005-06-26T23:23:10,J93I37VTQ,,
J93I37VUQ,0815-52374-337,244.6795833333,43.89095555556,49,2004-12-25T19:46:12.020000,2004-12-25T19:53:13.070000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6001,10174,KOOPMANS,2005-06-26T23:28:41,J93I37VUQ,,
J93I46Z5Q,0835-52326-571,169.415,5.570547222222,49,2004-11-13T06:44:50.003000,2004-11-13T06:51:51.050000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1987,10174,KOOPMANS,2005-05-15T16:35:13,J93I46Z5Q,,
J93I46Z6Q,0835-52326-571,169.415,5.570547222222,49,2004-11-13T06:54:27.987000,2004-11-13T07:01:29.037000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5703,10174,KOOPMANS,2005-05-15T19:25:25,J93I46Z6Q,,
J93I35I1Q,0842-52376-208,181.183625,3.968441666667,49,2005-06-14T13:30:20.267000,2005-06-14T13:37:21.313000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2285,10174,KOOPMANS,2005-12-14T19:54:12,J93I35I1Q,,
J93I35I2Q,0842-52376-208,181.183625,3.968441666667,49,2005-06-14T13:39:58.280000,2005-06-14T13:46:59.330000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.7197,10174,KOOPMANS,2005-12-14T19:56:18,J93I35I2Q,,
J93I34Y9Q,0847-52426-549,192.61775,5.396963888889,49,2005-03-12T02:19:24.140000,2005-03-12T02:26:25.187000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2153,10174,KOOPMANS,2005-09-11T10:56:34,J93I34Y9Q,,
J93I34YAQ,0847-52426-549,192.61775,5.396963888889,49,2005-03-12T02:29:02.157000,2005-03-12T02:36:03.203000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6533,10174,KOOPMANS,2005-09-11T11:01:34,J93I34YAQ,,
J93I45M4Q,0902-52409-068,149.1240833333,51.001775,49,2004-10-30T16:15:29.967000,2004-10-30T16:22:31.017000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,10174,KOOPMANS,2005-05-01T20:32:03,J93I45M4Q,,
J93I45M5Q,0902-52409-068,149.1240833333,51.001775,49,2004-10-30T16:25:07.950000,2004-10-30T16:32:09,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.561,10174,KOOPMANS,2005-05-01T20:38:05,J93I45M5Q,,
J93I09GRQ,0902-52409-577,148.3350833333,52.09547222222,49,2004-09-14T03:05:52.937000,2004-09-14T03:12:53.987000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1904,10174,KOOPMANS,2005-03-16T10:02:20,J93I09GRQ,,
J93I09GSQ,0902-52409-577,148.3350833333,52.09547222222,49,2004-09-14T03:15:30.920000,2004-09-14T03:22:31.970000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5283,10174,KOOPMANS,2005-03-16T10:04:51,J93I09GSQ,,
