data_set_name,target_name,ra,dec,start_time,stop_time,actual_duration,instrument,aper,spec,central_wavelength,release_date,preview_name,filename,data_uri,cutout,peak_value,fits_filepath,cutout_filepath
J93I24A7Q,0476-52314-177,143.9330416667,-0.05966666666667,2005-04-25T01:13:55.203000,2005-04-25T01:20:56.253000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2217,2005-10-25T06:28:29,J93I24A7Q,j93i24a7q_drz.fits,mast:HST/product/j93i24a7q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i24a7q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I24A7Q.fits
J93I24A8Q,0476-52314-177,143.9330416667,-0.05966666666667,2005-04-25T01:23:33.220000,2005-04-25T01:30:34.267000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6841,2005-10-25T06:42:05,J93I24A8Q,j93i24a8q_drz.fits,mast:HST/product/j93i24a8q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i24a8q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I24A8Q.fits
J93I40GYQ,0541-51959-145,114.3685,32.27185,2004-09-21T05:14:59.743000,2004-09-21T05:22:00.677000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1914,2005-03-24T15:39:38,J93I40GYQ,j93i40gyq_drz.fits,mast:HST/product/j93i40gyq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i40gyq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I40GYQ.fits
J93I40GZQ,0541-51959-145,114.3685,32.27185,2004-09-21T05:24:37.827000,2004-09-21T05:31:38.850000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5332,2005-03-24T22:52:25,J93I40GZQ,j93i40gzq_drz.fits,mast:HST/product/j93i40gzq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i40gzq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I40GZQ.fits
J93I18J4Q,0572-52289-495,149.933625,4.171388888889,2004-10-19T21:16:03.950000,2004-10-19T21:23:05,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1953,2005-04-21T08:54:11,J93I18J4Q,j93i18j4q_drz.fits,mast:HST/product/j93i18j4q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i18j4q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I18J4Q.fits
J93I18J5Q,0572-52289-495,149.933625,4.171388888889,2004-10-19T21:25:41.967000,2004-10-19T21:32:43.017000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5532,2005-04-21T08:59:42,J93I18J5Q,j93i18j5q_drz.fits,mast:HST/product/j93i18j5q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i18j5q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I18J5Q.fits
J93I16A1Q,0587-52026-205,220.83175,3.068958333333,2005-04-03T13:09:43.173000,2005-04-03T13:16:44.220000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2188,2005-10-03T20:46:33,J93I16A1Q,j93i16a1q_drz.fits,mast:HST/product/j93i16a1q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i16a1q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I16A1Q.fits
J93I16A2Q,0587-52026-205,220.83175,3.068958333333,2005-04-03T13:19:21.187000,2005-04-03T13:26:22.237000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6694,2005-10-03T20:51:04,J93I16A2Q,j93i16a2q_drz.fits,mast:HST/product/j93i16a2q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i16a2q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I16A2Q.fits
J93I31SSQ,0605-52353-503,210.6175833333,63.35926111111,2004-08-04T17:29:41.857000,2004-08-04T17:36:42.907000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1846,2005-02-04T08:15:32,J93I31SSQ,j93i31ssq_drz.fits,mast:HST/product/j93i31ssq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i31ssq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I31SSQ.fits
J93I31STQ,0605-52353-503,210.6175833333,63.35926111111,2004-08-04T17:39:19.747000,2004-08-04T17:46:20.677000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5,2005-02-04T08:18:03,J93I31STQ,j93i31stq_drz.fits,mast:HST/product/j93i31stq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i31stq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I31STQ.fits
