,z_source,z_lens,stellar_mass,einstein_radius,velocity_dispersion,source_mag_fuv,lensed_source_mag_fuv,lens_mag_fuv,source_mag_nuv,lensed_source_mag_nuv,lens_mag_nuv,source_mag_u,lensed_source_mag_u,lens_mag_u,source_mag_b,lensed_source_mag_b,lens_mag_b,source_mag_v,lensed_source_mag_v,lens_mag_v,source_mag_r,lensed_source_mag_r,lens_mag_r,source_mag_i,lensed_source_mag_i,lens_mag_i,source_mag_j,lensed_source_mag_j,lens_mag_j,source_mag_h,lensed_source_mag_h,lens_mag_h,source_mag_k,lensed_source_mag_k,lens_mag_k
22,6.254982174218992,4.4569078517445195,1888814521328.5168,0.23247004221488787,275.6709569712566,inf,inf,inf,inf,inf,31.745658866594294,inf,inf,25.63307006331978,35.492283056737236,34.77052980812494,23.153625919349988,33.65021598327178,32.92846273465948,21.81246038501813,32.15984220865013,31.438088960037838,21.52704368287287,31.82150000747617,31.099746758863876,21.463142744530497,31.558415737169927,30.836662488557632,21.37262924825728,31.413229297778887,30.691476049166592,21.307672247299788,31.169975753164355,30.44822250455206,20.82448930528253
23,6.948580675565033,2.353452355540008,112260064323.84232,0.5993986419236189,236.55957039581048,inf,inf,28.515105903184168,inf,inf,27.060615934142465,inf,inf,25.52362906819278,36.45668881015166,34.83871196055722,24.74961578851025,35.17591120268847,33.557934353094026,24.589696303362413,32.89386466855244,31.275887818957994,24.428174127347706,32.53292323047067,30.914946380876227,24.336823853448433,31.96917036055788,30.351193510963434,23.662408979142693,31.85631122868595,30.238334379091505,23.146376211566857,31.669743503290416,30.05176665369597,22.69633568546354
24,7.042014946538667,2.8795676916381976,863016401962.5529,0.5811180615237447,275.6709569712566,inf,inf,28.572558902398182,inf,inf,27.329267575363257,inf,inf,25.533854775985734,37.53637580406979,36.486871841377805,23.996643444993477,36.22608790945729,35.176583946765305,23.807882378917714,33.95979401735487,32.91029005466288,23.676050855578875,33.58845364783208,32.538949685140096,23.63195674380329,32.96861430182243,31.91911033913044,23.04605668909826,32.84431942380681,31.794815461114823,22.225624550915096,32.62718995645686,31.577685993764874,21.435825532123165
25,7.86663485231035,2.5487097982285607,825059494506.2463,0.7206628233554677,275.6709569712566,inf,inf,30.492444353704457,inf,inf,29.725256347447946,inf,inf,28.16407702718977,34.04220332485635,33.16174882552177,27.289635766488942,31.988252078616092,31.107797579281506,27.083066078165764,30.024723461630465,29.14426896229588,26.68101705421769,29.356099150697965,28.47564465136338,26.363991647040123,28.436775011242815,27.55632051190823,23.78396271371949,28.335184075750966,27.45472957641638,22.517035297233228,28.176332330430697,27.29587783109611,21.567735878500542
26,7.111964292861752,1.628301778851209,21219559737.49802,0.4146371650431961,174.36256246577884,inf,inf,28.1963002051779,inf,inf,26.896046987579062,inf,inf,26.309180611492458,36.69480865729586,35.310532068138144,26.09311412273646,35.34904102586834,33.964764436710624,25.924345794906245,33.10038362749186,31.716107038334144,25.666635626345112,32.71954109191127,31.335264502753553,25.483996307595632,32.142954454704395,30.75867786554668,24.37576837300233,32.09734917475742,30.713072585599704,23.944055855132184,32.07436785825415,30.690091269096435,23.436861737731228
27,7.521036344927992,4.991707063518363,651325247404.0923,0.24300302627717899,275.6709569712566,inf,inf,inf,inf,inf,inf,inf,inf,28.993286251187627,34.96806998783096,34.55862141069033,26.846079708679355,33.34839056888517,32.93894199174454,24.784670812246198,31.19796560155838,30.78851702441775,23.98118719582719,30.683391800401296,30.273943223260666,23.87843839175821,29.852026721689505,29.442578144548875,23.36313937906393,29.697187397830696,29.287738820690066,22.967226672213343,29.415822567526057,29.006373990385427,22.225414604885444
28,6.911713469827359,3.433083818028762,664950958752.681,0.46938778040402823,275.6709569712566,inf,inf,33.03675041142406,inf,inf,28.159086596414546,inf,inf,27.152447232163688,37.27253561354858,36.23029299906204,24.491015089315916,35.991700352098356,34.949457737611816,24.03407604994098,33.736519505846324,32.694276891359785,23.942940514313854,33.37707996658235,32.33483735209581,23.893200149211516,32.83645606597972,31.794213451493178,23.653986644326913,32.68098797935876,31.63874536487222,23.213695096607893,32.455134293978105,31.412891679491565,22.373087016440962
29,7.718185289231115,3.1664694558469013,202510534297.68866,0.5666682052818187,269.17505089039673,inf,inf,30.656176331514164,inf,inf,28.806561302028722,inf,inf,27.305056581088028,31.75116891252856,30.900973956126897,25.26003850566865,29.92358722628858,29.073392269886916,25.019795230387228,27.854373621232956,27.004178664831294,24.9153104396178,27.270022843424375,26.419827887022713,24.858804390200074,26.465755848549993,25.61556089214833,24.588241769098115,26.39231526874624,25.54212031234458,24.018198841045955,26.303072278532692,25.45287732213103,23.255192038345097
30,6.761206760369579,2.6702358464968774,38747000168.9976,0.31195624769662755,195.685279815083,inf,inf,28.873695068486818,inf,inf,27.829052142530514,inf,inf,25.78139242571281,36.86241420703533,35.85375942956175,24.645023499620365,35.43448636814721,34.42583159067363,24.564358540690556,33.396525380214364,32.38787060274078,24.48762810630093,33.03493233919868,32.0262775617251,24.478588479082568,32.675702890378645,31.667048112905064,24.24660459615879,32.636139008409465,31.627484230935885,23.865918797671277,32.70572096094286,31.697066183469282,23.547327857100278
31,4.427352905766287,0.5758879562167492,108359100942.28201,1.1510413413726004,236.3779726658472,inf,inf,22.044678730620802,36.65032548557539,35.88170401394503,21.98738444202212,31.671539159345777,30.90291768771542,21.914152516957856,29.208035853536067,28.43941438190571,21.797119051544932,27.887295123990548,27.11867365236019,21.272826021092186,27.545327117519008,26.77670564588865,20.68282763214377,27.429343038383763,26.660721566753406,20.51101287237328,27.05818656934092,26.28956509771056,19.830981099306733,26.644647046117868,25.87602557448751,19.45951541996949,25.45479780944879,24.686176337818434,19.07330143306163
