recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
54,111739.60+053414.0,835,52326,571,0.2285,0.823,17.11,s,0.12,J1117+0534,81.4,2.2,0.308,0.72,43.9,277,19,E,S,B, ,169.415,5.57056
55,113405.89+602713.5,952,52409,524,0.1528,0.4742,16.44,s,0.02,J1134+6027,59.1,2.02,0.325,0.83,155.0,239,12,E,S,A, ,173.52454,60.45375
56,113636.14+042625.0,837,52642,39,0.1282,0.5341,16.97,s,0.04,J1136+0426,25.4,0.88,0.33,0.81,123.9,258,14,E,S,X, ,174.15058,4.44028
57,114052.69+564044.5,1312,52781,311,0.0674,0.2968,15.78,s,0.02,J1140+5640,19.6,1.92,0.321,0.69,145.9,163,9,L,S,X, ,175.21954,56.67903
58,114257.35+100111.8,1226,52734,306,0.2218,0.5039,17.1,d,0.1,J1142+1001,75.8,1.91,0.314,0.89,95.4,221,22,E,S,A, ,175.73896,10.01994
59,114329.64-014430.0,328,52282,535,0.106,0.4019,14.96,d,0.03,J1143-0144,108.5,4.8,0.337,0.8,118.7,269,13,E,S,A, ,175.8735,-1.74167
60,115208.97+005431.0,284,51943,452,0.1062,0.159,16.9,s,0.04,J1152+0054,18.5,0.86,0.328,0.58,123.5,235,14,E,S,X, ,178.03737,0.90861
61,115310.79+461205.3,1446,53080,211,0.1797,0.8751,17.2,d,0.04,J1153+4612,41.9,1.16,0.323,0.9,2.9,226,15,E,S,A, ,178.29496,46.20147
62,115510.06+623722.4,777,52320,501,0.3751,0.669,17.61,s,0.03,J1155+6237,141.3,2.88,0.323,0.77,176.9,,,E,S,X, ,178.79192,62.62289
63,115905.46+544738.3,1018,52672,279,0.0818,0.2695,15.74,d,0.02,J1159+5447,30.6,1.9,0.318,0.69,107.3,231,12,E,S,X, ,179.77275,54.79397
64,120324.89+023301.1,517,52024,352,0.1644,0.438,16.59,s,0.05,J1203+0233,61.2,2.7,0.312,0.5,67.2,209,11,L,S,X, ,180.85371,2.55031
65,120444.07+035806.4,842,52376,208,0.1644,0.6307,16.84,s,0.04,J1204+0358,48.1,1.47,0.316,0.97,132.1,267,17,E,S,A, ,181.18362,3.96844
66,120540.44+491029.4,969,52442,134,0.215,0.4808,16.56,d,0.04,J1205+4910,110.4,2.59,0.314,0.72,158.3,281,14,E,S,A, ,181.4185,49.17483
67,121158.75+455036.6,1370,53090,427,0.111,0.317,15.63,d,0.02,J1211+4550,63.6,2.89,0.322,0.75,107.6,231,12,E,S,X, ,182.99479,45.8435
68,121340.58+670829.0,493,51957,145,0.1229,0.6402,15.6,d,0.03,J1213+6708,81.1,3.23,0.326,0.77,20.0,292,15,E,S,A, ,183.41908,67.14139
69,121826.70+083050.3,1625,53140,415,0.135,0.7172,15.74,d,0.03,J1218+0830,87.2,3.18,0.321,0.72,50.5,219,11,E,S,A, ,184.61125,8.51397
