wavelength,response_SCA01,response_SCA02,response_SCA03,response_SCA04,response_SCA05,response_SCA06,response_SCA07,response_SCA08,response_SCA09,response_SCA10,response_SCA11,response_SCA12,response_SCA13,response_SCA14,response_SCA15,response_SCA16,response_SCA17,response_SCA18,response
7570.0,0.0043325512286127,0.0254647908947032,0.1515729784418231,0.0160260185752255,0.0553063427244336,0.2010657447727611,0.1169346734661286,0.1643274787423819,0.2931545632339883,0.0049072774120001,0.0252658472158383,0.1477930485433906,0.0144344691443066,0.0474149101294604,0.2092445404594279,0.1050201575874437,0.1563034170281655,0.2942155961879343,0.11293246698822362
7580.0,0.0152744535661805,0.065032478135605,0.2380250593352123,0.0438118190566856,0.1190567393740205,0.2875178256661503,0.1963574110396258,0.2535205614334649,0.3647300779189268,0.0167333738778562,0.066204035355587,0.2326756848590681,0.0418886968276585,0.1087337729262546,0.3052017082319165,0.1917817064257339,0.2580299514877353,0.3756940851097018,0.1766816355904102
7590.0,0.042684471543118,0.1329164823349398,0.3190835560460429,0.0965097891026687,0.2080508783862387,0.3586512432869447,0.2840473637126187,0.3381158346574487,0.4151070383781531,0.045558102460055,0.137735340334111,0.3115015913959707,0.0963992648366327,0.1977500167916799,0.3833423643193956,0.2910767070325108,0.3551365716269987,0.428082587210784,0.24676384463646167
7600.0,0.0954266512955155,0.221601153402257,0.3779266752836298,0.17392098503431,0.302703859819502,0.4043419748662429,0.3619669712680258,0.4016230779217564,0.444152815492424,0.1000244607626147,0.2321893780885095,0.3678026525147286,0.1789829964187606,0.2935524505917181,0.4319730413752525,0.3783245626413595,0.4246121252572524,0.4539010557568026,0.313612604877259
7610.0,0.1736115170894091,0.310042671084295,0.4111944793604773,0.2621635590374831,0.3796066441273776,0.427552070733811,0.4178038304694324,0.4395992157317392,0.4582115021322082,0.1798229808406345,0.3266213109897007,0.3989041809772699,0.2745643816867266,0.3702341863675215,0.4554041857748927,0.4374992546770545,0.4621240611498838,0.4639587639660821,0.3693843775664443
7620.0,0.2628709143401138,0.3774624733662784,0.4261373601285497,0.3403484248313767,0.4275962804402254,0.4372118915853608,0.450209545271199,0.4580346633065504,0.4643345464706046,0.2706297178158436,0.3982852450874681,0.4125649802593242,0.359115445204296,0.4159912325064414,0.4646219095622984,0.4687997268184606,0.4778406117802086,0.4674955404792353,0.40997502829187965
7630.0,0.3413431432257011,0.4167649023686937,0.4316635734303517,0.3942842666569635,0.4507621666013791,0.4408149826581357,0.4654176842777578,0.4655503133970011,0.4670534434150911,0.350804020398386,0.4396655302913609,0.4175827819373603,0.4164112247173783,0.4364382217231085,0.4679818472497939,0.4819742193299564,0.483322615375596,0.4689544607909111,0.4353771887691626
7640.0,0.3943947909229995,0.4342277364023877,0.4334982762465499,0.4233521486244416,0.4595598981778478,0.4422075884101898,0.4710544218455957,0.4683355249011092,0.4684018394607309,0.4057124757650898,0.4579462438937215,0.4193069604875226,0.4462306716939015,0.4433128310705501,0.469374453001848,0.4866162385034699,0.4851573181917942,0.4697060257999561,0.44879974685553914
7650.0,0.4220479622852163,0.4401297322087122,0.4341172121363517,0.4358192858333067,0.4624114242415775,0.4428707340064059,0.4725575518636858,0.4694407675614696,0.4691976141761902,0.4349793014114328,0.4643124416173974,0.4200143157901532,0.4583220263982441,0.4450591144739195,0.4701481228641003,0.4882298927875961,0.4859530929072537,0.470126018010893,0.4547631450318837
7660.0,0.4332330180080634,0.4416328622268023,0.4344266800812527,0.4404170953004059,0.4634061426359019,0.4433128310705501,0.4727122858361364,0.4700818083044786,0.4697944452127849,0.4472695997946403,0.4663018784060461,0.4204343080010901,0.4624114242415775,0.4454127921252349,0.4707228490474877,0.4890256675030556,0.4864615045310195,0.4704133811025867,0.4570816985238397
7670.0,0.437123472172532,0.4422296932633969,0.4349350917050184,0.4425391612082978,0.4642903367641902,0.4439759766667664,0.4728007052489651,0.4709217927263525,0.4706344296346589,0.4518453044085322,0.4673850162131993,0.4210753487440992,0.4641798124981541,0.4457885746297574,0.4715628334693616,0.4899319664845512,0.4872130695400646,0.4709660024327669,0.45829992154503696
7680.0,0.4389802798419374,0.4431138873916852,0.43595191495255,0.4444180737309105,0.4656387328098299,0.4451696387399556,0.4733975362855598,0.4722922936251994,0.4720049305335057,0.4541663139952892,0.4687997268184606,0.4222026962576667,0.4658376764886948,0.4466506639048385,0.4729333343682084,0.4913908867962268,0.4885172558792898,0.4720491402399201,0.4596397212588738
7690.0,0.4402402564747483,0.4439980815199735,0.4370350527597031,0.4462306716939015,0.4670092337086767,0.446385405666352,0.474060681881776,0.4737070042304606,0.4734417459919742,0.4558462828390368,0.4702144374237219,0.4233521486244416,0.4674513307728209,0.4475790677395412,0.4743259401202625,0.492894016814317,0.4898877567781368,0.4731764877534877,0.46093531126629617
