Lens system,Survey,theta_E,sig_theta_E_up,sig_theta_E_low,gamma,sig_gamma_up,sig_gamma_low,sig_gamma_sys,q_m,sig_q_m_up,sig_q_m_low,phi_m,sig_phi_m_up,sig_phi_m_low,gamma_shear,sig_gamma_shear_up,sig_gamma_shear_low,phi_shear,sig_phi_shear_hi,sig_phi_shear_low,q_L,sig_q_L_up,sig_q_L_low,phi_L,sig_phi_L_up,sig_phi_L_low,R_eff,sig_R_eff_up,sig_R_eff_low,z_lens,z_source,sigma_los,sig_sigma_los,slit_shape,slit radius,slit_width,slit_length,seeing
SDSSJ0936+0913,SLACS,1.096,0.003,0.003,2.21,0.05,0.03,0.08,0.74,0.02,0.02,-56,3,3,0.053,0.006,0.007,-31,3,4,0.809,0.001,0.002,-55.9,0.3,0.2,2.108,0.006,0.006,0.19,0.59,227,8,Circular,1.5,--,--,1.4
SDSSJ0959+0410,SLACS,0.96,0.002,0.002,2.22,0.02,0.03,0.08,0.73,0.01,0.01,24,1,1,0.02,0.003,0.003,-29,6,5,0.733,0.003,0.003,32.2,0.3,0.3,0.968,0.001,0.001,0.13,0.54,192,8,Circular,1.5,--,--,1.4
SDSSJ1023+4230,SLACS,1.4,0.002,0.002,2.22,0.06,0.05,0.14,0.91,0.01,0.01,-63,0,1,0.039,0.004,0.003,5,2,2,0.842,0.001,0.001,-77.8,0.2,0.2,1.969,0.004,0.002,0.19,0.7,271,11,Circular,1.5,--,--,1.4
SDSSJ1100+5329,SLACS,1.461,0.003,0.003,1.89,0.03,0.03,0.14,0.61,0.01,0.01,-11,0,0,0.058,0.005,0.005,50,2,3,0.589,0.002,0.002,-11.9,0.1,0.1,2.261,0.006,0.006,0.32,0.86,210,17,Circular,1.5,--,--,1.4
SDSSJ1112+0826,SLACS,1.497,0.009,0.012,1.92,0.03,0.03,0.18,0.74,0.03,0.03,-52,2,2,0.02,0.012,0.017,-41,12,20,0.748,0.001,0.001,-46.8,0.2,0.2,1.623,0.003,0.003,0.27,0.63,260,14,Circular,1.5,--,--,1.4
SDSSJ1134+6027,SLACS,1.243,0.004,0.005,1.75,0.01,0.01,0.2,0.97,0,0.03,-54,2,6,0.002,0.002,0.001,57,31,26,0.799,0.001,0.001,-65.2,0.2,0.2,1.899,0.007,0.007,0.15,0.47,238,7,Circular,1.5,--,--,1.4
SDSSJ1204+0358,SLACS,1.295,0.003,0.002,2.02,0.03,0.03,0.05,0.9,0.01,0.01,19,2,3,0.023,0.004,0.004,-52,5,4,0.999,0,0.001,21.8,9.3,12.7,1.544,0.004,0.004,0.16,0.63,250,12,Circular,1.5,--,--,1.4
SDSSJ1213+6708,SLACS,1.451,0.005,0.005,1.71,0.01,0.01,0.22,0.99,0.01,0.01,84,1,4,0.014,0.002,0.003,-31,5,8,0.838,0.001,0.001,70.2,0.3,0.3,2.771,0.003,0.003,0.12,0.64,267,7,Circular,1.5,--,--,1.4
SDSSJ1218+0830,SLACS,1.489,0.007,0.008,1.96,0.02,0.02,0.1,0.64,0.03,0.02,40,1,2,0.042,0.006,0.007,51,5,4,0.698,0.001,0.001,40,0.1,0.1,3.506,0.021,0.021,0.14,0.72,221,6,Circular,1.5,--,--,1.4
SDSSJ1250+0523,SLACS,1.12,0.001,0.001,2.18,0.03,0.03,0.08,0.93,0.01,0.01,-23,0,0,0.01,0.002,0.002,-5,6,4,0.889,0.002,0.002,-8.1,0.4,0.3,1.748,0.005,0.003,0.23,0.8,242,10,Circular,1.5,--,--,1.4
